p	c	rel	tg_p	tg_c	tg_diff	step
6939	200852	-1	10884	0	10884	step 2	
25019	200852	-1	40	0	40	step 2	
57187	200852	-1	26	0	26	step 2	
50607	200862	-1	345	0	345	step 2	
62081	200862	-1	288	0	288	step 2	
174	200884	-1	6870	0	6870	step 2	
3257	200884	-1	1869	0	1869	step 2	
34927	200890	-1	2446	0	2446	step 2	
53667	200890	-1	263	0	263	step 2	
212027	200890	-1	107	0	107	step 2	
60326	200895	-1	74	0	74	step 2	
174	200946	-1	6870	0	6870	step 2	
701	200946	-1	1238	0	1238	step 2	
198949	200946	-1	188	0	188	step 2	
1299	201042	-1	2510	0	2510	step 2	
29467	201042	-1	160	0	160	step 2	
50607	201049	-1	345	0	345	step 2	
62081	201049	-1	288	0	288	step 2	
50607	201091	-1	345	0	345	step 2	
197091	201091	-1	28	0	28	step 2	
15830	201093	-1	3370	0	3370	step 2	
13237	201093	-1	403	0	403	step 2	
3269	201093	-1	204	0	204	step 2	
8612	201093	-1	48	0	48	step 2	
1299	201118	-1	2510	0	2510	step 2	
29076	201118	-1	298	0	298	step 2	
199805	201118	-1	20	0	20	step 2	
201706	201138	-1	242	0	242	step 2	
199599	201138	-1	178	0	178	step 2	
196695	201138	-1	90	0	90	step 2	
44020	201138	-1	37	0	37	step 2	
34019	201281	-1	1522	0	1522	step 2	
208627	201281	-1	8	0	8	step 2	
3356	201284	-1	6747	0	6747	step 2	
9002	201284	-1	2932	0	2932	step 2	
8220	201284	-1	1905	0	1905	step 2	
3216	201285	-1	1669	0	1669	step 2	
12389	201285	-1	1297	0	1297	step 2	
4455	201313	-1	2387	0	2387	step 2	
29075	201313	-1	1698	0	1698	step 2	
31216	201313	-1	130	0	130	step 2	
174	201338	-1	6870	0	6870	step 2	
3257	201338	-1	1869	0	1869	step 2	
174	201446	-1	6870	0	6870	step 2	
29119	201446	-1	360	0	360	step 2	
35699	201446	-1	95	0	95	step 2	
6939	201470	-1	10884	0	10884	step 2	
3326	201482	-1	408	0	408	step 2	
44600	201482	-1	171	0	171	step 2	
6703	201482	-1	11	0	11	step 2	
201387	201482	-1	3	0	3	step 2	
174	201483	-1	6870	0	6870	step 2	
6939	201483	-1	10884	0	10884	step 2	
41327	201483	-1	2268	0	2268	step 2	
174	201563	-1	6870	0	6870	step 2	
3356	201563	-1	6747	0	6747	step 2	
20485	201624	-1	1472	0	1472	step 2	
9049	201624	-1	580	0	580	step 2	
57045	201624	-1	5	0	5	step 2	
3356	201653	-1	6747	0	6747	step 2	
3491	201653	-1	744	0	744	step 2	
12849	201653	-1	45	0	45	step 2	
202940	201653	-1	13	0	13	step 2	
174	201710	-1	6870	0	6870	step 2	
3257	201710	-1	1869	0	1869	step 2	
6939	201820	-1	10884	0	10884	step 2	
20485	201820	-1	1472	0	1472	step 2	
12389	201820	-1	1297	0	1297	step 2	
8749	201820	-1	10	0	10	step 2	
174	201867	-1	6870	0	6870	step 2	
6461	201867	-1	2722	0	2722	step 2	
2914	201867	-1	1580	0	1580	step 2	
174	201868	-1	6870	0	6870	step 2	
35625	201868	-1	289	0	289	step 2	
39801	201868	-1	22	0	22	step 2	
3223	201909	-1	400	0	400	step 2	
9009	201909	-1	394	0	394	step 2	
12302	201909	-1	202	0	202	step 2	
12310	201909	-1	70	0	70	step 2	
8932	201921	-1	223	0	223	step 2	
12297	201921	-1	177	0	177	step 2	
49800	201921	-1	171	0	171	step 2	
33852	201921	-1	11	0	11	step 2	
3356	201935	-1	6747	0	6747	step 2	
3491	201935	-1	744	0	744	step 2	
29286	201935	-1	49	0	49	step 2	
8612	201935	-1	48	0	48	step 2	
1299	201991	-1	2510	0	2510	step 2	
15830	201991	-1	3370	0	3370	step 2	
55002	201991	-1	116	0	116	step 2	
3326	202026	-1	408	0	408	step 2	
15895	202026	-1	176	0	176	step 2	
6849	202026	-1	75	0	75	step 2	
25386	202026	-1	21	0	21	step 2	
174	202075	-1	6870	0	6870	step 2	
3257	202075	-1	1869	0	1869	step 2	
1257	202116	-1	312	0	312	step 2	
9381	202116	-1	250	0	250	step 2	
3301	202116	-1	119	0	119	step 2	
17888	202116	-1	5	0	5	step 2	
174	202125	-1	6870	0	6870	step 2	
29119	202125	-1	360	0	360	step 2	
202766	202125	-1	102	0	102	step 2	
50607	202126	-1	345	0	345	step 2	
3356	202149	-1	6747	0	6747	step 2	
6461	202149	-1	2722	0	2722	step 2	
3257	202149	-1	1869	0	1869	step 2	
3356	202187	-1	6747	0	6747	step 2	
4455	202187	-1	2387	0	2387	step 2	
31216	202187	-1	130	0	130	step 2	
200480	202308	-1	6	0	6	step 2	
8220	202312	-1	1905	0	1905	step 2	
32787	202312	-1	973	0	973	step 2	
25180	202312	-1	116	0	116	step 2	
15570	202312	-1	21	0	21	step 2	
60068	202319	-1	741	0	741	step 2	
43641	202319	-1	100	0	100	step 2	
25184	202319	-1	39	0	39	step 2	
197207	202319	-1	6	0	6	step 2	
39180	202328	-1	174	0	174	step 2	
60983	202328	-1	8	0	8	step 2	
31261	202344	-1	57	0	57	step 2	
8636	202344	-1	38	0	38	step 2	
3175	202344	-1	17	0	17	step 2	
30936	202344	-1	13	0	13	step 2	
50607	202434	-1	345	0	345	step 2	
62081	202434	-1	288	0	288	step 2	
174	202449	-1	6870	0	6870	step 2	
6461	202449	-1	2722	0	2722	step 2	
35625	202449	-1	289	0	289	step 2	
15830	202466	-1	3370	0	3370	step 2	
8220	202466	-1	1905	0	1905	step 2	
32787	202466	-1	973	0	973	step 2	
174	202521	-1	6870	0	6870	step 2	
32244	202521	-1	31	0	31	step 2	
60558	202521	-1	3	0	3	step 2	
34984	202536	-1	260	0	260	step 2	
15924	202536	-1	144	0	144	step 2	
206119	202536	-1	11	0	11	step 2	
57344	202543	-1	335	0	335	step 2	
34224	202543	-1	309	0	309	step 2	
6939	202572	-1	10884	0	10884	step 2	
8772	202572	-1	145	0	145	step 2	
39249	202572	-1	75	0	75	step 2	
8551	202597	-1	301	0	301	step 2	
12400	202597	-1	269	0	269	step 2	
48152	202597	-1	109	0	109	step 2	
36086	202597	-1	88	0	88	step 2	
56911	202704	-1	109	0	109	step 2	
41720	202704	-1	47	0	47	step 2	
57142	202704	-1	12	0	12	step 2	
62081	202744	-1	288	0	288	step 2	
3216	202768	-1	1669	0	1669	step 2	
29226	202768	-1	307	0	307	step 2	
49063	202768	-1	99	0	99	step 2	
49612	202768	-1	18	0	18	step 2	
9009	202779	-1	394	0	394	step 2	
9050	202779	-1	345	0	345	step 2	
6663	202779	-1	293	0	293	step 2	
5606	202779	-1	268	0	268	step 2	
6939	202820	-1	10884	0	10884	step 2	
20473	202820	-1	1336	0	1336	step 2	
21497	202845	-1	183	0	183	step 2	
6768	202845	-1	81	0	81	step 2	
43022	202845	-1	17	0	17	step 2	
43633	202845	-1	14	0	14	step 2	
174	202853	-1	6870	0	6870	step 2	
29119	202853	-1	360	0	360	step 2	
205645	202853	-1	2	0	2	step 2	
174	202865	-1	6870	0	6870	step 2	
6762	202865	-1	688	0	688	step 2	
6453	202865	-1	648	0	648	step 2	
174	202907	-1	6870	0	6870	step 2	
3356	202907	-1	6747	0	6747	step 2	
5089	202907	-1	81	0	81	step 2	
12741	202942	-1	1240	0	1240	step 2	
29535	202942	-1	384	0	384	step 2	
3216	202999	-1	1669	0	1669	step 2	
31133	202999	-1	951	0	951	step 2	
35168	202999	-1	61	0	61	step 2	
50607	203028	-1	345	0	345	step 2	
62081	203028	-1	288	0	288	step 2	
12389	203087	-1	1297	0	1297	step 2	
43298	203087	-1	101	0	101	step 2	
9198	203087	-1	96	0	96	step 2	
41798	203087	-1	77	0	77	step 2	
174	203175	-1	6870	0	6870	step 2	
13335	203175	-1	1046	0	1046	step 2	
34154	203175	-1	12	0	12	step 2	
31122	203185	-1	175	0	175	step 2	
39122	203185	-1	158	0	158	step 2	
51043	203185	-1	106	0	106	step 2	
5089	203185	-1	81	0	81	step 2	
5617	203210	-1	299	0	299	step 2	
1299	203228	-1	2510	0	2510	step 2	
33891	203228	-1	2095	0	2095	step 2	
8319	203228	-1	97	0	97	step 2	
207436	203228	-1	3	0	3	step 2	
29535	203266	-1	384	0	384	step 2	
20853	203266	-1	129	0	129	step 2	
174	203354	-1	6870	0	6870	step 2	
3356	203354	-1	6747	0	6747	step 2	
8262	203354	-1	237	0	237	step 2	
50607	203375	-1	345	0	345	step 2	
17378	203439	-1	201	0	201	step 2	
9150	203439	-1	120	0	120	step 2	
23686	203439	-1	36	0	36	step 2	
31133	203451	-1	951	0	951	step 2	
6789	203451	-1	82	0	82	step 2	
201776	203451	-1	69	0	69	step 2	
48084	203451	-1	51	0	51	step 2	
62081	203475	-1	288	0	288	step 2	
57608	203475	-1	12	0	12	step 2	
29535	203567	-1	384	0	384	step 2	
198984	203567	-1	3	0	3	step 2	
13004	203572	-1	94	0	94	step 2	
201236	203572	-1	3	0	3	step 2	
9050	203574	-1	345	0	345	step 2	
6204	203574	-1	260	0	260	step 2	
174	203608	-1	6870	0	6870	step 2	
3257	203608	-1	1869	0	1869	step 2	
25184	203616	-1	39	0	39	step 2	
20485	203695	-1	1472	0	1472	step 2	
12389	203695	-1	1297	0	1297	step 2	
8732	203746	-1	377	0	377	step 2	
25227	203746	-1	51	0	51	step 2	
39153	203746	-1	42	0	42	step 2	
15672	203746	-1	31	0	31	step 2	
208951	203755	-1	4	0	4	step 2	
209974	203755	-1	4	0	4	step 2	
212675	203755	-1	3	0	3	step 2	
208456	203755	-1	2	0	2	step 2	
174	203795	-1	6870	0	6870	step 2	
13237	203795	-1	403	0	403	step 2	
11269	203795	-1	20	0	20	step 2	
3855	203795	-1	13	0	13	step 2	
3257	203949	-1	1869	0	1869	step 2	
13649	203949	-1	182	0	182	step 2	
6461	203955	-1	2722	0	2722	step 2	
3257	203955	-1	1869	0	1869	step 2	
13237	203955	-1	403	0	403	step 2	
6424	203999	-1	238	0	238	step 2	
47787	203999	-1	93	0	93	step 2	
141193	203999	-1	8	0	8	step 2	
203020	203999	-1	6	0	6	step 2	
50607	204019	-1	345	0	345	step 2	
62081	204019	-1	288	0	288	step 2	
174	204080	-1	6870	0	6870	step 2	
1299	204080	-1	2510	0	2510	step 2	
3491	204080	-1	744	0	744	step 2	
39923	204120	-1	35	0	35	step 2	
174	204167	-1	6870	0	6870	step 2	
3356	204167	-1	6747	0	6747	step 2	
2914	204167	-1	1580	0	1580	step 2	
174	204189	-1	6870	0	6870	step 2	
29119	204189	-1	360	0	360	step 2	
34977	204189	-1	20	0	20	step 2	
3223	204213	-1	400	0	400	step 2	
8772	204307	-1	145	0	145	step 2	
39249	204307	-1	75	0	75	step 2	
60404	204307	-1	35	0	35	step 2	
50607	204376	-1	345	0	345	step 2	
62081	204376	-1	288	0	288	step 2	
21013	204410	-1	180	0	180	step 2	
29056	204410	-1	115	0	115	step 2	
3330	204410	-1	114	0	114	step 2	
60587	204410	-1	36	0	36	step 2	
174	204413	-1	6870	0	6870	step 2	
3356	204413	-1	6747	0	6747	step 2	
2914	204413	-1	1580	0	1580	step 2	
50607	204444	-1	345	0	345	step 2	
13119	204444	-1	32	0	32	step 2	
174	204548	-1	6870	0	6870	step 2	
3257	204548	-1	1869	0	1869	step 2	
3356	204597	-1	6747	0	6747	step 2	
3257	204597	-1	1869	0	1869	step 2	
2110	204597	-1	38	0	38	step 2	
59692	204601	-1	190	0	190	step 2	
24875	204601	-1	186	0	186	step 2	
57724	204601	-1	108	0	108	step 2	
939	204601	-1	5	0	5	step 2	
3257	204641	-1	1869	0	1869	step 2	
50673	204641	-1	1091	0	1091	step 2	
44901	204641	-1	187	0	187	step 2	
50607	204744	-1	345	0	345	step 2	
29535	204766	-1	384	0	384	step 2	
20552	204766	-1	38	0	38	step 2	
12741	205017	-1	1240	0	1240	step 2	
20804	205017	-1	455	0	455	step 2	
5617	205017	-1	299	0	299	step 2	
8374	205017	-1	201	0	201	step 2	
12741	205030	-1	1240	0	1240	step 2	
29535	205030	-1	384	0	384	step 2	
3257	205039	-1	1869	0	1869	step 2	
39122	205039	-1	158	0	158	step 2	
31641	205039	-1	8	0	8	step 2	
29535	205041	-1	384	0	384	step 2	
12741	205074	-1	1240	0	1240	step 2	
29535	205074	-1	384	0	384	step 2	
50607	205105	-1	345	0	345	step 2	
62081	205105	-1	288	0	288	step 2	
174	205184	-1	6870	0	6870	step 2	
6461	205184	-1	2722	0	2722	step 2	
1299	205184	-1	2510	0	2510	step 2	
1764	205202	-1	1594	0	1594	step 2	
21013	205202	-1	180	0	180	step 2	
3330	205202	-1	114	0	114	step 2	
8412	205202	-1	81	0	81	step 2	
1299	205287	-1	2510	0	2510	step 2	
12552	205287	-1	1799	0	1799	step 2	
31027	205287	-1	376	0	376	step 2	
3301	205287	-1	119	0	119	step 2	
35320	205318	-1	445	0	445	step 2	
35297	205318	-1	351	0	351	step 2	
199995	205318	-1	296	0	296	step 2	
50581	205318	-1	195	0	195	step 2	
6939	205365	-1	10884	0	10884	step 2	
56655	205365	-1	313	0	313	step 2	
53667	205365	-1	263	0	263	step 2	
43350	205365	-1	203	0	203	step 2	
8932	205368	-1	223	0	223	step 2	
12297	205368	-1	177	0	177	step 2	
49800	205368	-1	171	0	171	step 2	
33852	205368	-1	11	0	11	step 2	
3356	205419	-1	6747	0	6747	step 2	
24724	205419	-1	721	0	721	step 2	
15694	205419	-1	252	0	252	step 2	
32098	205419	-1	202	0	202	step 2	
12969	205436	-1	143	0	143	step 2	
56704	205436	-1	97	0	97	step 2	
49282	205436	-1	16	0	16	step 2	
44735	205514	-1	160	0	160	step 2	
5089	205514	-1	81	0	81	step 2	
30909	205514	-1	3	0	3	step 2	
174	205583	-1	6870	0	6870	step 2	
24785	205583	-1	241	0	241	step 2	
701	205783	-1	1238	0	1238	step 2	
6663	205783	-1	293	0	293	step 2	
8953	205783	-1	262	0	262	step 2	
10753	205783	-1	56	0	56	step 2	
39386	205906	-1	290	0	290	step 2	
60051	205906	-1	131	0	131	step 2	
211513	205906	-1	6	0	6	step 2	
25144	205913	-1	21	0	21	step 2	
20875	205913	-1	6	0	6	step 2	
48708	205913	-1	5	0	5	step 2	
1886	205913	-1	4	0	4	step 2	
9002	205952	-1	2932	0	2932	step 2	
31133	205952	-1	951	0	951	step 2	
29226	205952	-1	307	0	307	step 2	
39561	205952	-1	10	0	10	step 2	
12741	206019	-1	1240	0	1240	step 2	
15694	206019	-1	252	0	252	step 2	
4455	206049	-1	2387	0	2387	step 2	
44684	206049	-1	173	0	173	step 2	
31216	206049	-1	130	0	130	step 2	
12741	206118	-1	1240	0	1240	step 2	
29535	206118	-1	384	0	384	step 2	
3356	206166	-1	6747	0	6747	step 2	
6939	206166	-1	10884	0	10884	step 2	
47605	206175	-1	202	0	202	step 2	
16086	206175	-1	81	0	81	step 2	
1759	206175	-1	62	0	62	step 2	
719	206175	-1	60	0	60	step 2	
174	206310	-1	6870	0	6870	step 2	
29075	206310	-1	1698	0	1698	step 2	
205698	206310	-1	2	0	2	step 2	
3356	206322	-1	6747	0	6747	step 2	
8447	206322	-1	274	0	274	step 2	
8717	206346	-1	310	0	310	step 2	
47872	206346	-1	83	0	83	step 2	
44814	206346	-1	24	0	24	step 2	
50607	206369	-1	345	0	345	step 2	
62081	206369	-1	288	0	288	step 2	
174	206372	-1	6870	0	6870	step 2	
3257	206372	-1	1869	0	1869	step 2	
9002	206385	-1	2932	0	2932	step 2	
20485	206385	-1	1472	0	1472	step 2	
12389	206385	-1	1297	0	1297	step 2	
3257	206399	-1	1869	0	1869	step 2	
8218	206399	-1	1553	0	1553	step 2	
3215	206399	-1	176	0	176	step 2	
62081	206401	-1	288	0	288	step 2	
174	206437	-1	6870	0	6870	step 2	
3356	206437	-1	6747	0	6747	step 2	
8881	206437	-1	417	0	417	step 2	
174	206456	-1	6870	0	6870	step 2	
25472	206456	-1	27	0	27	step 2	
198477	206456	-1	27	0	27	step 2	
9119	206474	-1	207	0	207	step 2	
25144	206474	-1	21	0	21	step 2	
42560	206474	-1	14	0	14	step 2	
16178	206474	-1	6	0	6	step 2	
174	206529	-1	6870	0	6870	step 2	
174	206537	-1	6870	0	6870	step 2	
3257	206537	-1	1869	0	1869	step 2	
3257	206567	-1	1869	0	1869	step 2	
6830	206567	-1	350	0	350	step 2	
6730	206567	-1	241	0	241	step 2	
1853	206571	-1	136	0	136	step 2	
8339	206571	-1	125	0	125	step 2	
12741	206589	-1	1240	0	1240	step 2	
20804	206589	-1	455	0	455	step 2	
1299	206661	-1	2510	0	2510	step 2	
3216	206661	-1	1669	0	1669	step 2	
9049	206661	-1	580	0	580	step 2	
29076	206661	-1	298	0	298	step 2	
3216	206668	-1	1669	0	1669	step 2	
29226	206668	-1	307	0	307	step 2	
49063	206668	-1	99	0	99	step 2	
8342	206668	-1	24	0	24	step 2	
174	206693	-1	6870	0	6870	step 2	
8220	206693	-1	1905	0	1905	step 2	
198949	206693	-1	188	0	188	step 2	
31034	206693	-1	83	0	83	step 2	
6461	206720	-1	2722	0	2722	step 2	
3491	206720	-1	744	0	744	step 2	
4755	206720	-1	786	0	786	step 2	
1221	206720	-1	303	0	303	step 2	
50607	206762	-1	345	0	345	step 2	
62081	206762	-1	288	0	288	step 2	
1299	206767	-1	2510	0	2510	step 2	
29076	206767	-1	298	0	298	step 2	
43226	206767	-1	23	0	23	step 2	
174	206782	-1	6870	0	6870	step 2	
29075	206782	-1	1698	0	1698	step 2	
8487	206782	-1	70	0	70	step 2	
21334	206814	-1	29	0	29	step 2	
197248	206814	-1	10	0	10	step 2	
50261	206814	-1	7	0	7	step 2	
8462	206814	-1	2	0	2	step 2	
174	206870	-1	6870	0	6870	step 2	
3257	206870	-1	1869	0	1869	step 2	
50607	206910	-1	345	0	345	step 2	
42927	206910	-1	39	0	39	step 2	
28716	207042	-1	804	0	804	step 2	
12874	207042	-1	361	0	361	step 2	
9002	207066	-1	2932	0	2932	step 2	
5518	207066	-1	39	0	39	step 2	
24589	207066	-1	38	0	38	step 2	
28886	207066	-1	10	0	10	step 2	
19551	207087	-1	453	0	453	step 2	
61231	207087	-1	118	0	118	step 2	
50292	207087	-1	5	0	5	step 2	
8932	207092	-1	223	0	223	step 2	
12297	207092	-1	177	0	177	step 2	
49800	207092	-1	171	0	171	step 2	
200348	207092	-1	2	0	2	step 2	
174	207138	-1	6870	0	6870	step 2	
201749	207138	-1	7	0	7	step 2	
41032	207138	-1	6	0	6	step 2	
174	207162	-1	6870	0	6870	step 2	
13237	207162	-1	403	0	403	step 2	
35266	207162	-1	109	0	109	step 2	
50607	207170	-1	345	0	345	step 2	
62081	207170	-1	288	0	288	step 2	
174	207195	-1	6870	0	6870	step 2	
3356	207195	-1	6747	0	6747	step 2	
43545	207195	-1	11	0	11	step 2	
174	207225	-1	6870	0	6870	step 2	
3356	207225	-1	6747	0	6747	step 2	
47160	207225	-1	614	0	614	step 2	
6939	207254	-1	10884	0	10884	step 2	
12578	207254	-1	264	0	264	step 2	
2586	207254	-1	33	0	33	step 2	
3216	207382	-1	1669	0	1669	step 2	
12389	207382	-1	1297	0	1297	step 2	
31133	207382	-1	951	0	951	step 2	
50477	207382	-1	9	0	9	step 2	
3216	207518	-1	1669	0	1669	step 2	
20485	207518	-1	1472	0	1472	step 2	
12389	207518	-1	1297	0	1297	step 2	
6939	207537	-1	10884	0	10884	step 2	
8772	207537	-1	145	0	145	step 2	
39249	207537	-1	75	0	75	step 2	
174	207540	-1	6870	0	6870	step 2	
56910	207540	-1	29	0	29	step 2	
198477	207540	-1	27	0	27	step 2	
3257	207543	-1	1869	0	1869	step 2	
7545	207543	-1	437	0	437	step 2	
134809	207543	-1	11	0	11	step 2	
29535	207593	-1	384	0	384	step 2	
12912	207593	-1	327	0	327	step 2	
3320	207741	-1	698	0	698	step 2	
8220	207741	-1	1905	0	1905	step 2	
8881	207741	-1	417	0	417	step 2	
3209	207741	-1	171	0	171	step 2	
47160	207849	-1	614	0	614	step 2	
2027	207849	-1	81	0	81	step 2	
39421	207849	-1	7	0	7	step 2	
205684	207849	-1	2	0	2	step 2	
9002	207867	-1	2932	0	2932	step 2	
60490	207867	-1	3	0	3	step 2	
59813	207936	-1	32	0	32	step 2	
206652	207936	-1	15	0	15	step 2	
3320	208015	-1	698	0	698	step 2	
8220	208015	-1	1905	0	1905	step 2	
8881	208015	-1	417	0	417	step 2	
4455	208035	-1	2387	0	2387	step 2	
31216	208035	-1	130	0	130	step 2	
43545	208035	-1	11	0	11	step 2	
59692	208161	-1	190	0	190	step 2	
57724	208161	-1	108	0	108	step 2	
3216	208177	-1	1669	0	1669	step 2	
20485	208177	-1	1472	0	1472	step 2	
12389	208177	-1	1297	0	1297	step 2	
2854	208177	-1	267	0	267	step 2	
12975	208336	-1	42	0	42	step 2	
9038	208336	-1	39	0	39	step 2	
48832	208336	-1	25	0	25	step 2	
8376	208336	-1	14	0	14	step 2	
3320	208372	-1	698	0	698	step 2	
8881	208372	-1	417	0	417	step 2	
3209	208372	-1	171	0	171	step 2	
174	208564	-1	6870	0	6870	step 2	
5564	208564	-1	61	0	61	step 2	
43545	208564	-1	11	0	11	step 2	
20473	208679	-1	1336	0	1336	step 2	
58057	208679	-1	612	0	612	step 2	
41051	208679	-1	207	0	207	step 2	
209533	208679	-1	155	0	155	step 2	
6939	208680	-1	10884	0	10884	step 2	
209533	208680	-1	155	0	155	step 2	
20473	208810	-1	1336	0	1336	step 2	
60068	208810	-1	741	0	741	step 2	
63473	208810	-1	45	0	45	step 2	
37988	208810	-1	15	0	15	step 2	
174	208837	-1	6870	0	6870	step 2	
25472	208837	-1	27	0	27	step 2	
9002	208941	-1	2932	0	2932	step 2	
3255	208941	-1	307	0	307	step 2	
3303	208950	-1	1048	0	1048	step 2	
29208	208950	-1	204	0	204	step 2	
8821	208950	-1	148	0	148	step 2	
5610	208950	-1	61	0	61	step 2	
12741	209066	-1	1240	0	1240	step 2	
13110	209066	-1	41	0	41	step 2	
20552	209066	-1	38	0	38	step 2	
60695	209066	-1	19	0	19	step 2	
50607	209086	-1	345	0	345	step 2	
62081	209086	-1	288	0	288	step 2	
174	209087	-1	6870	0	6870	step 2	
29119	209087	-1	360	0	360	step 2	
41095	209132	-1	496	0	496	step 2	
57344	209132	-1	335	0	335	step 2	
201133	209132	-1	30	0	30	step 2	
48014	209132	-1	4	0	4	step 2	
15895	209155	-1	176	0	176	step 2	
31229	209155	-1	128	0	128	step 2	
43668	209155	-1	75	0	75	step 2	
61297	209155	-1	25	0	25	step 2	
20804	209200	-1	455	0	455	step 2	
62081	209200	-1	288	0	288	step 2	
35179	209200	-1	136	0	136	step 2	
3320	209216	-1	698	0	698	step 2	
6939	209216	-1	10884	0	10884	step 2	
29404	209216	-1	85	0	85	step 2	
34154	209216	-1	12	0	12	step 2	
6939	209240	-1	10884	0	10884	step 2	
42313	209240	-1	29	0	29	step 2	
35047	209240	-1	20	0	20	step 2	
50607	209276	-1	345	0	345	step 2	
34224	209333	-1	309	0	309	step 2	
4455	209336	-1	2387	0	2387	step 2	
31216	209336	-1	130	0	130	step 2	
212633	209336	-1	4	0	4	step 2	
35753	209342	-1	211	0	211	step 2	
35819	209342	-1	74	0	74	step 2	
25233	209342	-1	10	0	10	step 2	
58250	209342	-1	3	0	3	step 2	
174	209366	-1	6870	0	6870	step 2	
1299	209366	-1	2510	0	2510	step 2	
39572	209366	-1	51	0	51	step 2	
6939	209391	-1	10884	0	10884	step 2	
174	209479	-1	6870	0	6870	step 2	
29075	209479	-1	1698	0	1698	step 2	
197033	209479	-1	51	0	51	step 2	
31167	209479	-1	43	0	43	step 2	
56655	209512	-1	313	0	313	step 2	
53667	209512	-1	263	0	263	step 2	
206075	209512	-1	34	0	34	step 2	
61138	209512	-1	31	0	31	step 2	
174	209525	-1	6870	0	6870	step 2	
25540	209525	-1	61	0	61	step 2	
20926	209525	-1	2	0	2	step 2	
174	209561	-1	6870	0	6870	step 2	
9002	209561	-1	2932	0	2932	step 2	
174	209620	-1	6870	0	6870	step 2	
16097	209620	-1	173	0	173	step 2	
21032	209620	-1	13	0	13	step 2	
174	209703	-1	6870	0	6870	step 2	
6939	209703	-1	10884	0	10884	step 2	
3320	209740	-1	698	0	698	step 2	
8220	209740	-1	1905	0	1905	step 2	
8422	209740	-1	204	0	204	step 2	
34953	209740	-1	151	0	151	step 2	
174	209772	-1	6870	0	6870	step 2	
8220	209772	-1	1905	0	1905	step 2	
35432	209772	-1	181	0	181	step 2	
197648	209772	-1	2	0	2	step 2	
44600	209825	-1	171	0	171	step 2	
34056	209825	-1	36	0	36	step 2	
8708	209856	-1	492	0	492	step 2	
8953	209856	-1	262	0	262	step 2	
12302	209856	-1	202	0	202	step 2	
44679	209856	-1	4	0	4	step 2	
29535	209921	-1	384	0	384	step 2	
62081	209921	-1	288	0	288	step 2	
9002	209930	-1	2932	0	2932	step 2	
201706	209930	-1	242	0	242	step 2	
8595	209930	-1	76	0	76	step 2	
9002	209973	-1	2932	0	2932	step 2	
20485	209973	-1	1472	0	1472	step 2	
12389	209973	-1	1297	0	1297	step 2	
2854	209973	-1	267	0	267	step 2	
3320	209991	-1	698	0	698	step 2	
15830	209991	-1	3370	0	3370	step 2	
8767	209991	-1	224	0	224	step 2	
12337	209991	-1	138	0	138	step 2	
15962	209998	-1	35	0	35	step 2	
50607	210014	-1	345	0	345	step 2	
62081	210014	-1	288	0	288	step 2	
6939	210025	-1	10884	0	10884	step 2	
20473	210025	-1	1336	0	1336	step 2	
53667	210025	-1	263	0	263	step 2	
8220	210137	-1	1905	0	1905	step 2	
13335	210137	-1	1046	0	1046	step 2	
2686	210137	-1	271	0	271	step 2	
702	210137	-1	228	0	228	step 2	
50607	210142	-1	345	0	345	step 2	
62081	210142	-1	288	0	288	step 2	
48422	210169	-1	37	0	37	step 2	
44383	210169	-1	13	0	13	step 2	
50607	210256	-1	345	0	345	step 2	
62081	210256	-1	288	0	288	step 2	
29535	210265	-1	384	0	384	step 2	
5617	210265	-1	299	0	299	step 2	
174	210329	-1	6870	0	6870	step 2	
3257	210329	-1	1869	0	1869	step 2	
2119	210483	-1	677	0	677	step 2	
1257	210483	-1	312	0	312	step 2	
51701	210483	-1	12	0	12	step 2	
6461	210492	-1	2722	0	2722	step 2	
2914	210492	-1	1580	0	1580	step 2	
3216	210616	-1	1669	0	1669	step 2	
20485	210616	-1	1472	0	1472	step 2	
12389	210616	-1	1297	0	1297	step 2	
31133	210616	-1	951	0	951	step 2	
61423	210626	-1	82	0	82	step 2	
50226	210626	-1	21	0	21	step 2	
174	210801	-1	6870	0	6870	step 2	
6939	210902	-1	10884	0	10884	step 2	
174	210920	-1	6870	0	6870	step 2	
3356	210920	-1	6747	0	6747	step 2	
34309	210920	-1	185	0	185	step 2	
34927	210941	-1	2446	0	2446	step 2	
41051	210941	-1	207	0	207	step 2	
53667	210965	-1	263	0	263	step 2	
209533	210965	-1	155	0	155	step 2	
400304	210965	-1	44	0	44	step 2	
50224	210965	-1	7	0	7	step 2	
49612	211056	-1	18	0	18	step 2	
174	211058	-1	6870	0	6870	step 2	
1299	211058	-1	2510	0	2510	step 2	
2914	211058	-1	1580	0	1580	step 2	
29535	211148	-1	384	0	384	step 2	
35179	211148	-1	136	0	136	step 2	
60068	211192	-1	741	0	741	step 2	
147049	211192	-1	15	0	15	step 2	
207137	211192	-1	9	0	9	step 2	
141039	211192	-1	9	0	9	step 2	
174	211211	-1	6870	0	6870	step 2	
9002	211211	-1	2932	0	2932	step 2	
3223	211306	-1	400	0	400	step 2	
9009	211306	-1	394	0	394	step 2	
6663	211306	-1	293	0	293	step 2	
12302	211306	-1	202	0	202	step 2	
49600	211441	-1	195	0	195	step 2	
12741	211516	-1	1240	0	1240	step 2	
