p	c	rel	tg_p	tg_c	tg_diff	step
3356	4230	-1	6747	621	6126	step 2	
1299	4230	-1	2510	621	1889	step 2	
3257	4230	-1	1869	621	1248	step 2	
701	4230	-1	1238	621	617	step 2	
6762	4230	-1	688	621	67	step 2	
6453	4230	-1	648	621	27	step 2	
3356	29632	-1	6747	621	6126	step 2	
2914	29632	-1	1580	621	959	step 2	
174	47160	-1	6870	614	6256	step 2	
6461	47160	-1	2722	614	2108	step 2	
174	58057	-1	6870	612	6258	step 2	
6939	58057	-1	10884	612	10272	step 2	
34549	58057	-1	2288	612	1676	step 2	
20473	58057	-1	1336	612	724	step 2	
1836	58057	-1	1102	612	490	step 2	
50673	58057	-1	1091	612	479	step 2	
174	8966	-1	6870	591	6279	step 2	
3356	8966	-1	6747	591	6156	step 2	
1299	8966	-1	2510	591	1919	step 2	
3257	8966	-1	1869	591	1278	step 2	
2914	8966	-1	1580	591	989	step 2	
3491	8966	-1	744	591	153	step 2	
6762	8966	-1	688	591	97	step 2	
5511	8966	-1	364	591	-227	step 2	
4637	8966	-1	707	591	116	step 2	
1299	9049	-1	2510	580	1930	step 2	
9002	9049	-1	2932	580	2352	step 2	
20485	9049	-1	1472	580	892	step 2	
12389	9049	-1	1297	580	717	step 2	
3356	3549	-1	6747	576	6171	step 2	
3257	1103	-1	1869	565	1304	step 2	
6830	1103	-1	350	565	-215	step 2	
174	38195	-1	6870	560	6310	step 2	
3356	38195	-1	6747	560	6187	step 2	
6461	38195	-1	2722	560	2162	step 2	
1299	38195	-1	2510	560	1950	step 2	
3491	38195	-1	744	560	184	step 2	
4826	38195	-1	1314	560	754	step 2	
174	58717	-1	6870	554	6316	step 2	
2914	58717	-1	1580	554	1026	step 2	
6762	58717	-1	688	554	134	step 2	
6453	58717	-1	648	554	94	step 2	
6939	58717	-1	10884	554	10330	step 2	
9002	58717	-1	2932	554	2378	step 2	
9498	58717	-1	1233	554	679	step 2	
58453	58717	-1	673	554	119	step 2	
174	61568	-1	6870	552	6318	step 2	
6762	61568	-1	688	552	136	step 2	
6939	61568	-1	10884	552	10332	step 2	
37468	61568	-1	2817	552	2265	step 2	
174	3786	-1	6870	533	6337	step 2	
3356	3786	-1	6747	533	6214	step 2	
1239	3786	-1	4874	533	4341	step 2	
2914	3786	-1	1580	533	1047	step 2	
3491	3786	-1	744	533	211	step 2	
6453	3786	-1	648	533	115	step 2	
4637	3786	-1	707	533	174	step 2	
174	62275	-1	6870	533	6337	step 2	
3356	62275	-1	6747	533	6214	step 2	
1299	62275	-1	2510	533	1977	step 2	
6762	62275	-1	688	533	155	step 2	
6939	62275	-1	10884	533	10351	step 2	
174	9318	-1	6870	529	6341	step 2	
1239	9318	-1	4874	529	4345	step 2	
1299	9318	-1	2510	529	1981	step 2	
2914	9318	-1	1580	529	1051	step 2	
701	9318	-1	1238	529	709	step 2	
3491	9318	-1	744	529	215	step 2	
6939	9318	-1	10884	529	10355	step 2	
174	52468	-1	6870	520	6350	step 2	
3356	52468	-1	6747	520	6227	step 2	
1299	52468	-1	2510	520	1990	step 2	
6762	52468	-1	688	520	168	step 2	
5511	52468	-1	364	520	-156	step 2	
12956	52468	-1	261	520	-259	step 2	
7195	52468	-1	2558	520	2038	step 2	
52320	52468	-1	1794	520	1274	step 2	
22356	52468	-1	812	520	292	step 2	
3549	52468	-1	576	520	56	step 2	
1299	22773	-1	2510	511	1999	step 2	
3257	22773	-1	1869	511	1358	step 2	
174	6774	-1	6870	501	6369	step 2	
1299	6774	-1	2510	501	2009	step 2	
3320	6774	-1	698	501	197	step 2	
6453	6774	-1	648	501	147	step 2	
5511	6774	-1	364	501	-137	step 2	
3303	6774	-1	1048	501	547	step 2	
4637	6774	-1	707	501	206	step 2	
3356	41095	-1	6747	496	6251	step 2	
3491	41095	-1	744	496	248	step 2	
6762	41095	-1	688	496	192	step 2	
137409	41095	-1	3912	496	3416	step 2	
174	8708	-1	6870	492	6378	step 2	
3356	8708	-1	6747	492	6255	step 2	
1299	8708	-1	2510	492	2018	step 2	
174	394256	-1	6870	491	6379	step 2	
6939	394256	-1	10884	491	10393	step 2	
174	13786	-1	6870	485	6385	step 2	
3356	13786	-1	6747	485	6262	step 2	
2914	13786	-1	1580	485	1095	step 2	
12956	13786	-1	261	485	-224	step 2	
7195	13786	-1	2558	485	2073	step 2	
174	36236	-1	6870	457	6413	step 2	
3356	36236	-1	6747	457	6290	step 2	
1299	36236	-1	2510	457	2053	step 2	
3257	36236	-1	1869	457	1412	step 2	
2914	36236	-1	1580	457	1123	step 2	
3491	36236	-1	744	457	287	step 2	
209	36236	-1	716	457	259	step 2	
6762	36236	-1	688	457	231	step 2	
6939	36236	-1	10884	457	10427	step 2	
37100	36236	-1	2148	457	1691	step 2	
4826	36236	-1	1314	457	857	step 2	
9498	36236	-1	1233	457	776	step 2	
4755	36236	-1	786	457	329	step 2	
174	20940	-1	6870	456	6414	step 2	
3356	20940	-1	6747	456	6291	step 2	
6461	20940	-1	2722	456	2266	step 2	
1299	20940	-1	2510	456	2054	step 2	
7018	20940	-1	2191	456	1735	step 2	
3257	20940	-1	1869	456	1413	step 2	
2914	20940	-1	1580	456	1124	step 2	
3491	20940	-1	744	456	288	step 2	
6762	20940	-1	688	456	232	step 2	
6453	20940	-1	648	456	192	step 2	
12956	20940	-1	261	456	-195	step 2	
15830	20940	-1	3370	456	2914	step 2	
9002	20940	-1	2932	456	2476	step 2	
37100	20940	-1	2148	456	1692	step 2	
33891	20940	-1	2095	456	1639	step 2	
8220	20940	-1	1905	456	1449	step 2	
3216	20940	-1	1669	456	1213	step 2	
20485	20940	-1	1472	456	1016	step 2	
4826	20940	-1	1314	456	858	step 2	
12389	20940	-1	1297	456	841	step 2	
9498	20940	-1	1233	456	777	step 2	
8359	20940	-1	1045	456	589	step 2	
32787	20940	-1	973	456	517	step 2	
4755	20940	-1	786	456	330	step 2	
9304	20940	-1	759	456	303	step 2	
60068	20940	-1	741	456	285	step 2	
4637	20940	-1	707	456	251	step 2	
14840	20940	-1	637	456	181	step 2	
4766	20940	-1	636	456	180	step 2	
8966	20940	-1	591	456	135	step 2	
9318	20940	-1	529	456	73	step 2	
22773	20940	-1	511	456	55	step 2	
1299	20804	-1	2510	455	2055	step 2	
2914	20804	-1	1580	455	1125	step 2	
6762	20804	-1	688	455	233	step 2	
174	19551	-1	6870	453	6417	step 2	
3356	19551	-1	6747	453	6294	step 2	
1299	19551	-1	2510	453	2057	step 2	
3257	19551	-1	1869	453	1416	step 2	
2914	19551	-1	1580	453	1127	step 2	
3491	19551	-1	744	453	291	step 2	
6762	19551	-1	688	453	235	step 2	
5511	19551	-1	364	453	-89	step 2	
12956	19551	-1	261	453	-192	step 2	
9002	19551	-1	2932	453	2479	step 2	
30844	19551	-1	1411	453	958	step 2	
4826	19551	-1	1314	453	861	step 2	
9498	19551	-1	1233	453	780	step 2	
16735	19551	-1	819	453	366	step 2	
4755	19551	-1	786	453	333	step 2	
7713	19551	-1	714	453	261	step 2	
